section,item,value,trace_fact_ids
Financial application,Dataset and date range,"SPY, QQQ and VIX public-market snapshot (2010-01-04 to 2025-12-31)","[""financial.data.start_date"",""financial.data.end_date"",""financial.data.snapshot_id""]"
Financial application,Temporal split sizes,2744 train / 748 validation / 497 test,"[""financial.data.train_rows"",""financial.data.validation_rows"",""financial.data.test_rows""]"
Financial application,Forecast target,5-trading-day realised variance,"[""financial.target.horizon_trading_days""]"
Financial application,Frozen regime thresholds,low/medium=0.006637; medium/high=0.019546,"[""financial.regime.low_medium"",""financial.regime.medium_high""]"
Financial application,Frozen QRC architecture,2 qubits; V=2; reset_each_input; feature dimension 6,"[""financial.architecture.n_qubits"",""financial.architecture.virtual_nodes"",""financial.architecture.feature_dimension"",""financial.architecture.state_policy""]"
Financial application,Reservoir seeds and exact backend,"2026, 2027, 2028; numpy_density_matrix_exact","[""financial.architecture.seed_2026"",""financial.architecture.seed_2027"",""financial.architecture.seed_2028"",""financial.architecture.backend""]"
Financial application,Controlled robustness conditions,"analytic; 128/512/2,048/8,192 shots; depolarising 0.01; bit flip 0.02","[""financial.robustness.shots_128"",""financial.robustness.shots_512"",""financial.robustness.shots_2048"",""financial.robustness.shots_8192"",""financial.robustness.depolarizing_probability"",""financial.robustness.measurement_flip_probability""]"
Financial application,Final architecture-manifest SHA-256,10a431b7d047f5e0b18b657815492560a717aca6588067402bf47cb64983190f,"[""financial.architecture.manifest_sha256""]"
MNIST benchmark,Genuine balanced split sizes,6000 train / 1000 validation / 1000 test; 100 test images per digit,"[""mnist.data.train_rows"",""mnist.data.validation_rows"",""mnist.data.test_rows"",""mnist.data.test_rows_per_digit""]"
MNIST benchmark,QRC representation,"5 qubits; 28-row, five-band sequence; image feature dimension 140","[""mnist.architecture.n_qubits"",""mnist.architecture.row_steps"",""mnist.architecture.column_bands"",""mnist.architecture.image_feature_dimension""]"
MNIST benchmark,Reservoir seeds and backend,"2026, 2027, 2028; numpy_density_matrix_exact","[""mnist.architecture.seed_2026"",""mnist.architecture.seed_2027"",""mnist.architecture.seed_2028"",""mnist.architecture.backend""]"
MNIST benchmark,Balanced-subset checksum,06c1ee9c6db87efc13ebaacc7f4406297d061d10d573731434c3f957e7c0574e,"[""mnist.data.subset_checksum""]"
MNIST benchmark,Analytic and robustness conditions,"analytic; 2,048 shots; depolarising 0.01; measurement flip 0.02","[""mnist.robustness.analytic"",""mnist.robustness.shots_2048"",""mnist.robustness.depolarizing_0_01"",""mnist.robustness.measurement_flip_0_02""]"
